rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,T-Series,246000000,228963264128,20082,Music,2006,17.5,95.62857142857143
2,YouTube Movies,170000000,0,0,Film & Animation,2015,8.5,0.0
3,MrBeast,169000000,28883031718,741,Entertainment,2012,11.5,5.369565217391305
4,Cocomelon - Nursery Rhymes,163000000,165181578894,975,Education,2006,17.5,4.642857142857143
5,SET India,159000000,148946906265,116524,Shows,2006,17.5,554.8761904761905
6,Music,119000000,0,0,,2013,10.5,0.0
7,â¿ Kids Diana Show,112000000,93532793878,1111,People & Blogs,2015,8.5,10.892156862745098
8,PewDiePie,111000000,29072407952,4716,Gaming,2010,13.5,29.11111111111111
9,Like Nastya,106000000,90738599921,812,People & Blogs,2016,7.5,9.022222222222222
10,Vlad and Niki,99300000,77517930475,577,Entertainment,2018,5.5,8.742424242424242
11,Zee Music Company,97100000,58204011904,8553,Music,2014,9.5,75.02631578947368
12,WWE,96200000,77660853951,70121,Sports,2007,16.5,354.14646464646466
13,Gaming,93700000,0,0,,2013,10.5,0.0
14,BLACKPINK,90300000,32450170623,545,People & Blogs,2016,7.5,6.055555555555556
15,Goldmines,87400000,24354255294,6486,Film & Animation,2012,11.5,47.0
16,Sony SAB,83400000,101143928547,71255,Shows,2007,16.5,359.87373737373736
17,5-Minute Crafts,80100000,26298009082,6408,Howto & Style,2016,7.5,71.2
18,BANGTANTV,75800000,20857315545,2281,Music,2012,11.5,16.52898550724638
19,Sports,75000000,0,0,,2013,10.5,0.0
20,HYBE LABELS,71900000,28928297812,1337,Music,2008,15.5,7.188172043010753
21,Justin Bieber,71600000,30681521800,249,Music,2007,16.5,1.2575757575757576
22,Zee TV,70800000,74161424854,129312,Entertainment,2005,18.5,582.4864864864865
23,Pinkfong Baby Shark - Kids' Songs & Stories,68500000,39119077522,2872,Education,2011,12.5,19.146666666666665
24,Canal KondZilla,66500000,36759059779,2579,Music,2012,11.5,18.68840579710145
25,ChuChu TV Nursery Rhymes & Kids Songs,66000000,45929218727,633,Education,2013,10.5,5.023809523809524
26,Shemaroo Filmi Gaane,65700000,28727551828,8495,Music,2010,13.5,52.43827160493827
27,Colors TV,65000000,61988846308,112906,Shows,2008,15.5,607.0215053763441
28,T-Series Bhakti Sagar,61300000,29726056619,26028,Music,2011,12.5,173.51999999999998
29,Dude Perfect,59500000,16297000706,389,Sports,2009,14.5,2.235632183908046
30,Tips Official,59500000,33577056642,4732,Music,2007,16.5,23.8989898989899
31,Movieclips,59500000,59387263763,39113,Film & Animation,2006,17.5,186.25238095238095
32,El Reino Infantil,58600000,57534150542,1510,Music,2011,12.5,10.066666666666666
33,Wave Music,58100000,40675571896,19480,Music,2014,9.5,170.87719298245614
34,Aaj Tak,58000000,25556464730,284031,News & Politics,2009,14.5,1632.3620689655172
35,Sony Music India,57300000,28946278184,3886,Music,2009,14.5,22.333333333333332
36,EminemMusic,57000000,27192405193,156,Music,2007,16.5,0.787878787878788
37,Marshmello,56500000,14751657050,437,Entertainment,2015,8.5,4.284313725490196
38,YRF,54800000,35537559696,3707,Film & Animation,2006,17.5,17.652380952380952
39,LooLoo Kids - Nursery Rhymes and Children's Songs,54300000,32457239477,699,Music,2014,9.5,6.131578947368421
40,Infobells - Hindi,54200000,30991850912,578,Education,2014,9.5,5.0701754385964914
41,Ed Sheeran,53500000,30444866960,383,Music,2006,17.5,1.8238095238095238
42,Taylor Swift,53200000,30173032938,216,Music,2006,17.5,1.0285714285714287
43,Ariana Grande,52700000,24066142753,147,Music,2007,16.5,0.7424242424242423
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,52600000,10047597673,859,Education,2013,10.5,6.817460317460317
45,JuegaGerman,48200000,14662615752,2052,Gaming,2013,10.5,16.285714285714285
46,Billie Eilish,48100000,13728337095,70,Music,2013,10.5,0.5555555555555556
47,Shemaroo,47800000,22669259868,11478,Entertainment,2007,16.5,57.96969696969697
48,Get Movies,47700000,30890546074,3321,Entertainment,2006,17.5,15.814285714285715
49,Badabun,46900000,19418114231,18314,Entertainment,2014,9.5,160.64912280701756
50,SonyMusicIndiaVEVO,46800000,27412626939,3444,Music,2009,14.5,19.79310344827586
51,A4,46400000,23091551763,777,Gaming,2014,9.5,6.81578947368421
52,Bad Bunny,46200000,30854790982,130,Music,2014,9.5,1.1403508771929824
53,Fernanfloo,46200000,10335319455,543,Gaming,2011,12.5,3.6199999999999997
54,Voot Kids,45600000,21487486205,4680,Entertainment,2016,7.5,52.0
55,Felipe Neto,45200000,16656143729,4332,Entertainment,2006,17.5,20.62857142857143
56,HAR PAL GEO,45100000,41820760918,101319,Entertainment,2008,15.5,544.7258064516129
57,VocÃª Sabia?,44700000,7840053189,1558,Entertainment,2013,10.5,12.365079365079366
