rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,Cocomelon - Nursery Rhymes,163000000,165181578894,975,Education,2006,17.5,4.642857142857143
2,Pinkfong Baby Shark - Kids' Songs & Stories,68500000,39119077522,2872,Education,2011,12.5,19.146666666666665
3,ChuChu TV Nursery Rhymes & Kids Songs,66000000,45929218727,633,Education,2013,10.5,5.023809523809524
4,Infobells - Hindi,54200000,30991850912,578,Education,2014,9.5,5.0701754385964914
5,BillionSurpriseToys  - Nursery Rhymes & Cartoons,52600000,10047597673,859,Education,2013,10.5,6.817460317460317
6,Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39470913830,2423,Education,2011,12.5,16.153333333333332
7,Super Simple Songs - Kids Songs,39300000,45002644685,744,Education,2006,17.5,3.5428571428571427
8,Genevieve's Playhouse - Learning Videos for Kids,35000000,25665304522,617,Education,2016,7.5,6.855555555555555
9,CVS 3D Rhymes & Kids Songs,33500000,20353910136,338,Education,2008,15.5,1.8172043010752688
10,BabyBus - Kids Songs and Cartoons,32900000,26439924903,2127,Education,2016,7.5,23.633333333333336
11,Little Angel: Nursery Rhymes & Kids Songs,30100000,22616423829,1348,Education,2015,8.5,13.215686274509805
12,infobells - Tamil,29000000,17988909959,556,Education,2014,9.5,4.87719298245614
13,infobells - Telugu,28800000,14997816884,506,Education,2014,9.5,4.43859649122807
14,BabyBus - Canciones Infantiles & Videos para NiÃ±os,23000000,13269665628,1254,Education,2018,5.5,19.0
15,Khan GS Research Centre,21300000,2086931677,361,Education,2019,4.5,6.685185185185186
16,Dr. Vivek Bindra: Motivational Speaker,21000000,1715414870,900,Education,2013,10.5,7.142857142857142
17,Kurzgesagt â In a Nutshell,20800000,2386993409,193,Education,2013,10.5,1.5317460317460316
18,BabyBus - Cerita & Lagu Anak-anak,20400000,11876955685,880,Education,2019,4.5,16.296296296296294
19,à¤¹à¤¿à¤à¤¦à¥ - Genevieve's Playhouse,20400000,11071488122,109,Education,2018,5.5,1.6515151515151514
20,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20400000,7335842496,227,Education,2017,6.5,2.91025641025641
21,ÐÐ¸ÑÐ¾ÑÐºÐ° Ð¢Ð,19000000,4939534980,60,Education,2018,5.5,0.9090909090909091
22,Little Angel EspaÃ±ol - Canciones Infantiles,18900000,9888643058,720,Education,2018,5.5,10.909090909090908
23,TED-Ed,18800000,3666989563,2072,Education,2011,12.5,13.813333333333333
24,Blippi - Educational Videos for Kids,18200000,14955230041,709,Education,2014,9.5,6.219298245614035
25,El Reino a Jugar,17300000,11479902375,1007,Education,2015,8.5,9.872549019607844
26,Jason Vlogs,17300000,8955751818,776,Education,2015,8.5,7.6078431372549025
27,wifistudy by Unacademy,16000000,3025862598,52240,Education,2014,9.5,458.2456140350877
28,Dear Sir,15900000,1363560891,636,Education,2016,7.5,7.066666666666666
29,Infobells Bangla,15700000,7870659995,359,Education,2016,7.5,3.988888888888889
30,Dave and Ava - Nursery Rhymes and Baby Songs,15300000,10756533523,854,Education,2014,9.5,7.491228070175438
31,Daftar Populer,15200000,2152528513,3821,Education,2017,6.5,48.98717948717948
32,TheRichest,15000000,2731826109,2209,Education,2014,9.5,19.37719298245614
33,CrashCourse,14800000,1836206748,1481,Education,2006,17.5,7.052380952380953
34,StudyIQ IAS,14800000,4075233041,43689,Education,2015,8.5,428.3235294117647
35,Netflix Jr.,14700000,8929794298,2001,Education,2012,11.5,14.5
36,infobells - Kannada,14300000,6616009221,434,Education,2014,9.5,3.807017543859649
37,Veritasium,14000000,2176943773,369,Education,2010,13.5,2.2777777777777777
38,infobells,13800000,5191390485,495,Education,2011,12.5,3.3000000000000003
39,JOJO TV - Hindi Stories,13700000,5161425632,1138,Education,2016,7.5,12.644444444444444
40,The Infographics Show,13300000,5293767960,4288,Education,2011,12.5,28.58666666666667
41,The Shiny Peanut,12900000,2848943240,2337,Education,2016,7.5,25.96666666666667
42,Right to Shiksha,12900000,7992217549,2058,Education,2020,3.5,49.0
43,Caylus,12600000,4873075551,1344,Education,2016,7.5,14.933333333333332
44,Little Baby Bum en EspaÃ±ol,12500000,6966502103,1463,Education,2014,9.5,12.833333333333334
45,TKOR,12400000,3402698421,1563,Education,2010,13.5,9.648148148148147
46,English Connection,12300000,2050851674,1206,Education,2015,8.5,11.823529411764705
47,Dr Ryan,12300000,6801269038,1091,Education,2020,3.5,25.976190476190478
48,Moonbug Kids - Sing Along With Me!,12000000,4784474705,1048,Education,2018,5.5,15.878787878787877
49,Koo Koo TV - Hindi,12000000,4496280089,1171,Education,2017,6.5,15.012820512820513
50,Little Treehouse Nursery Rhymes and Kids Songs,11800000,6400110237,1590,Education,2015,8.5,15.588235294117647
51,Jugnu Kids - Nursery Rhymes and Best Baby Songs,11700000,4773100093,4804,Education,2015,8.5,47.09803921568627
52,Utkarsh Classes,11700000,2524590548,9161,Education,2012,11.5,66.38405797101449
53,BE AMAZED,11600000,4014186973,1749,Education,2015,8.5,17.14705882352941
54,YtCrash,11400000,3825084,1,Education,2015,8.5,0.00980392156862745
55,Pinkfong en espaÃ±ol - Canciones Infantiles,11400000,4807461616,1903,Education,2016,7.5,21.144444444444442
56,Videogyan Kids - Learning Videos & Nursery Rhymes,11300000,8178353944,1049,Education,2011,12.5,6.993333333333333
57,ChuChuTV Hindi,11300000,5097402143,350,Education,2018,5.5,5.303030303030303
58,íí¬í (ì¸ê¸° ëìã»ëí),11200000,7149219066,3199,Education,2014,9.5,28.06140350877193
59,Psych2Go,11200000,1576321304,2552,Education,2014,9.5,22.385964912280702
60,DuDuPopTOY,11000000,5087509628,2603,Education,2016,7.5,28.92222222222222
61,Super Crazy Kids,10900000,5231371566,703,Education,2016,7.5,7.811111111111111
62,Physics Wallah - Alakh Pandey,10800000,2094230544,1520,Education,2014,9.5,13.333333333333334
63,Jungle Beat,10600000,5257220034,618,Education,2008,15.5,3.32258064516129
64,Islam Populer,10500000,1034096472,1817,Education,2017,6.5,23.294871794871796
65,Examà¤ªà¥à¤°,10500000,1686982399,62427,Education,2016,7.5,693.6333333333333
