rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,MrBeast,169000000,28883031718,741,Entertainment,2012,11.5,5.369565217391305
2,Vlad and Niki,99300000,77517930475,577,Entertainment,2018,5.5,8.742424242424242
3,Zee TV,70800000,74161424854,129312,Entertainment,2005,18.5,582.4864864864865
4,Marshmello,56500000,14751657050,437,Entertainment,2015,8.5,4.284313725490196
5,Shemaroo,47800000,22669259868,11478,Entertainment,2007,16.5,57.96969696969697
6,Get Movies,47700000,30890546074,3321,Entertainment,2006,17.5,15.814285714285715
7,Badabun,46900000,19418114231,18314,Entertainment,2014,9.5,160.64912280701756
8,Voot Kids,45600000,21487486205,4680,Entertainment,2016,7.5,52.0
9,Felipe Neto,45200000,16656143729,4332,Entertainment,2006,17.5,20.62857142857143
10,HAR PAL GEO,45100000,41820760918,101319,Entertainment,2008,15.5,544.7258064516129
11,Você Sabia?,44700000,7840053189,1558,Entertainment,2013,10.5,12.365079365079366
12,ARY Digital HD,43800000,38759806071,110480,Entertainment,2016,7.5,1227.5555555555554
13,HolaSoyGerman.,43600000,4834911075,136,Entertainment,2011,12.5,0.9066666666666667
14,Like Nastya Show,42400000,19573533928,620,Entertainment,2017,6.5,7.948717948717949
15,Rihanna,41900000,22572719750,84,Entertainment,2005,18.5,0.37837837837837834
16,Toys and Colors,40600000,47269219158,1005,Entertainment,2016,7.5,11.166666666666666
17,WorkpointOfficial,39100000,36219206930,72787,Entertainment,2012,11.5,527.4420289855072
18,TheEllenShow,38200000,22764427831,15672,Entertainment,2006,17.5,74.62857142857142
19,Like Nastya ESP,37700000,18297770961,745,Entertainment,2017,6.5,9.551282051282051
20,ช่อง one31,37500000,27345245936,116970,Entertainment,2013,10.5,928.3333333333334
21,Jess No Limit,36000000,4231839529,2308,Entertainment,2017,6.5,29.58974358974359
22,Saregama Music,35800000,15872784852,7566,Entertainment,2013,10.5,60.047619047619044
23,Ryan's World,35200000,55350491581,2453,Entertainment,2015,8.5,24.049019607843135
24,Ch3Thailand,33500000,29688192325,96183,Entertainment,2014,9.5,843.7105263157895
25,TheDonato,32800000,6339792927,3033,Entertainment,2015,8.5,29.735294117647058
