rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,YouTube Movies,170000000,0,0,Film & Animation,2015,8.5,0.0
2,Goldmines,87400000,24354255294,6486,Film & Animation,2012,11.5,47.0
3,Movieclips,59500000,59387263763,39113,Film & Animation,2006,17.5,186.25238095238095
4,YRF,54800000,35537559696,3707,Film & Animation,2006,17.5,17.652380952380952
5,ÐÐ°ÑÐ° Ð¸ ÐÐµÐ´Ð²ÐµÐ´Ñ,43300000,36557938284,1476,Film & Animation,2011,12.5,9.84
6,PowerKids TV,36800000,19124548098,5650,Film & Animation,2014,9.5,49.561403508771924
7,Jingle Toons,34300000,11447325427,240,Film & Animation,2013,10.5,1.9047619047619049
8,Galinha Pintadinha,33900000,27535909540,66,Film & Animation,2006,17.5,0.3142857142857143
9,Selena Gomez,33700000,13075555134,188,Film & Animation,2008,15.5,1.010752688172043
10,WowKidz,32300000,16716417246,4378,Film & Animation,2015,8.5,42.921568627450974
11,Peppa Pig - Official Channel,31500000,22962119961,3589,Film & Animation,2013,10.5,28.484126984126984
12,Masha y el Oso,28500000,13664006592,1117,Film & Animation,2016,7.5,12.411111111111111
13,Goldmines Dishoom,28200000,8676563625,3888,Film & Animation,2016,7.5,43.199999999999996
14,Nick Jr.,27400000,22398715255,5438,Film & Animation,2012,11.5,39.405797101449274
15,Goldmines Bollywood,26600000,8700898261,3652,Film & Animation,2015,8.5,35.80392156862745
16,ZHC,25600000,2756189906,313,Film & Animation,2013,10.5,2.484126984126984
17,Pen Movies,24400000,6671627023,1667,Film & Animation,2014,9.5,14.622807017543861
18,Goldmines Movies,24100000,5709691581,4894,Film & Animation,2013,10.5,38.84126984126984
19,Tilak,23800000,9627670790,6736,Film & Animation,2020,3.5,160.38095238095238
20,Peppa Pig EspaÃ±ol Latino - Canal Oficial,23600000,7954041684,1257,Film & Animation,2014,9.5,11.026315789473685
21,Valentina Pontes ofc,23400000,7944598020,1291,Film & Animation,2014,9.5,11.324561403508772
22,Alan Becker,23300000,5492173668,164,Film & Animation,2006,17.5,0.780952380952381
23,Goldmines Cineplex,22600000,2464452852,3395,Film & Animation,2015,8.5,33.2843137254902
24,Ben Azelart,22200000,4569686752,303,Film & Animation,2014,9.5,2.6578947368421053
25,DaFuq!?Boom!,21000000,8338345921,212,Film & Animation,2016,7.5,2.3555555555555556
26,Totoy kids - PortuguÃªs,20500000,1807951221,207,Film & Animation,2014,9.5,1.8157894736842106
27,BeatboxJCOP,20100000,9580225091,753,Film & Animation,2011,12.5,5.0200000000000005
28,Green Gold TV - Official Channel,20000000,9619324409,1478,Film & Animation,2011,12.5,9.853333333333333
