rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,PewDiePie,111000000,29072407952,4716,Gaming,2010,13.5,29.11111111111111
2,JuegaGerman,48200000,14662615752,2052,Gaming,2013,10.5,16.285714285714285
3,A4,46400000,23091551763,777,Gaming,2014,9.5,6.81578947368421
4,Fernanfloo,46200000,10335319455,543,Gaming,2011,12.5,3.6199999999999997
5,elrubiusOMG,40400000,7412569667,703,Gaming,2011,12.5,4.6866666666666665
6,Mikecrack,40100000,16275298042,1884,Gaming,2015,8.5,18.47058823529412
7,MrBeast Gaming,36400000,6393937621,141,Gaming,2020,3.5,3.357142857142857
8,Total Gaming,35500000,5592944339,1208,Gaming,2018,5.5,18.3030303030303
9,Markiplier,35200000,20319657490,5490,Gaming,2012,11.5,39.78260869565217
10,Techno Gamerz,34700000,9800842223,944,Gaming,2017,6.5,12.102564102564102
11,SSSniperWolf,33800000,23572690210,3365,Gaming,2013,10.5,26.706349206349206
12,VEGETTA777,33800000,15447914814,7605,Gaming,2008,15.5,40.887096774193544
13,rezendeevil,32100000,13084926458,11882,Gaming,2012,11.5,86.10144927536231
14,Dream,31800000,2935934168,116,Gaming,2014,9.5,1.0175438596491229
15,AboFlah,31400000,4617103590,643,Gaming,2016,7.5,7.144444444444445
16,Frost Diamond,31100000,7322367177,2838,Gaming,2014,9.5,24.894736842105264
17,jacksepticeye,30100000,16271486579,5114,Gaming,2007,16.5,25.828282828282827
18,DanTDM,27500000,19432160772,3664,Gaming,2012,11.5,26.55072463768116
19,VanossGaming,25800000,15561360378,1760,Gaming,2011,12.5,11.733333333333334
20,Preston,24100000,8307349429,4009,Gaming,2012,11.5,29.05072463768116
21,Ninja,23700000,2548622925,1737,Gaming,2011,12.5,11.58
22,FaZe Rug,23700000,7469719533,2163,Gaming,2012,11.5,15.67391304347826
23,Jelly,23500000,14802711649,6073,Gaming,2014,9.5,53.271929824561404
24,SSundee,22500000,13861360273,3315,Gaming,2009,14.5,19.051724137931036
25,FGTeeV,22300000,24111053812,1727,Gaming,2013,10.5,13.706349206349207
26,invictor,22000000,8505787538,2316,Gaming,2013,10.5,18.380952380952383
27,LazarBeam,20500000,8786446874,1323,Gaming,2015,8.5,12.970588235294118
28,MiawAug,20300000,6125184538,3720,Gaming,2014,9.5,32.63157894736842
29,AuthenticGames,20100000,8922367974,4974,Gaming,2011,12.5,33.160000000000004
30,AS Gaming,19800000,2862000293,1291,Gaming,2016,7.5,14.344444444444443
31,Clash of Clans,19600000,3970087032,674,Gaming,2013,10.5,5.349206349206349
32,Ø´Ø¨ÙØ© Ø§ÙØ¹Ø§Ø¨ Ø§ÙØ¹Ø±Ø¨ | Arab Games Network,18900000,8815319365,6307,Gaming,2013,10.5,50.05555555555555
33,IShowSpeed,18800000,1618726827,1331,Gaming,2016,7.5,14.78888888888889
34,Ali-A,18700000,6166255797,4135,Gaming,2006,17.5,19.69047619047619
35,Marmok,18500000,3465331015,374,Gaming,2008,15.5,2.010752688172043
36,SQUEEZIE,18100000,9996851189,1521,Gaming,2011,12.5,10.14
37,TheGrefg,18000000,6421008917,3565,Gaming,2012,11.5,25.833333333333332
38,DeGoBooM,17800000,6341422722,4700,Gaming,2014,9.5,41.228070175438596
39,Aphmau,17600000,18037999634,4415,Gaming,2012,11.5,31.992753623188406
40,zbing z.,17600000,9311058685,3161,Gaming,2014,9.5,27.7280701754386
41,The Game Theorists,17600000,3765503588,638,Gaming,2009,14.5,3.6666666666666665
42,IGN,17500000,16144610895,156208,Gaming,2006,17.5,743.847619047619
43,PopularMMOs,17200000,14579599483,4685,Gaming,2012,11.5,33.949275362318836
44,Willyrex,17200000,5029869259,7550,Gaming,2009,14.5,43.390804597701155
45,CoryxKenshin,16900000,7156339762,1693,Gaming,2009,14.5,9.729885057471265
46,Guava Juice,16900000,9114908568,1910,Gaming,2006,17.5,9.095238095238095
47,Technoblade,16400000,1665313080,989,Gaming,2013,10.5,7.849206349206349
48,JJ Olatunji,16300000,4088370570,1294,Gaming,2011,12.5,8.626666666666667
49,W2S,16300000,4769261058,652,Gaming,2012,11.5,4.724637681159421
50,Antrax,16000000,3032334210,687,Gaming,2015,8.5,6.735294117647059
51,Unspeakable,16000000,9163199851,796,Gaming,2016,7.5,8.844444444444445
52,Enes Batur,16000000,9801836843,1986,Gaming,2012,11.5,14.391304347826086
53,Lyna,16000000,6559163990,4906,Gaming,2014,9.5,43.03508771929825
54,Kuplinov âº Play,15700000,6886282547,6623,Gaming,2012,11.5,47.992753623188406
55,BigSchool,15500000,2254663250,204,Gaming,2019,4.5,3.777777777777778
56,FFUNTV,15500000,11547725263,379,Gaming,2018,5.5,5.742424242424242
