rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,T-Series,246000000,228963264128,20082,Music,2006,17.5,95.62857142857143
2,Zee Music Company,97100000,58204011904,8553,Music,2014,9.5,75.02631578947368
3,BANGTANTV,75800000,20857315545,2281,Music,2012,11.5,16.52898550724638
4,HYBE LABELS,71900000,28928297812,1337,Music,2008,15.5,7.188172043010753
5,Justin Bieber,71600000,30681521800,249,Music,2007,16.5,1.2575757575757576
6,Canal KondZilla,66500000,36759059779,2579,Music,2012,11.5,18.68840579710145
7,Shemaroo Filmi Gaane,65700000,28727551828,8495,Music,2010,13.5,52.43827160493827
8,T-Series Bhakti Sagar,61300000,29726056619,26028,Music,2011,12.5,173.51999999999998
9,Tips Official,59500000,33577056642,4732,Music,2007,16.5,23.8989898989899
10,El Reino Infantil,58600000,57534150542,1510,Music,2011,12.5,10.066666666666666
11,Wave Music,58100000,40675571896,19480,Music,2014,9.5,170.87719298245614
12,Sony Music India,57300000,28946278184,3886,Music,2009,14.5,22.333333333333332
13,EminemMusic,57000000,27192405193,156,Music,2007,16.5,0.787878787878788
14,LooLoo Kids - Nursery Rhymes and Children's Songs,54300000,32457239477,699,Music,2014,9.5,6.131578947368421
15,Ed Sheeran,53500000,30444866960,383,Music,2006,17.5,1.8238095238095238
16,Taylor Swift,53200000,30173032938,216,Music,2006,17.5,1.0285714285714287
17,Ariana Grande,52700000,24066142753,147,Music,2007,16.5,0.7424242424242423
18,Billie Eilish,48100000,13728337095,70,Music,2013,10.5,0.5555555555555556
19,SonyMusicIndiaVEVO,46800000,27412626939,3444,Music,2009,14.5,19.79310344827586
20,Bad Bunny,46200000,30854790982,130,Music,2014,9.5,1.1403508771929824
21,Katy Perry,44300000,25524538298,128,Music,2008,15.5,0.6881720430107526
22,Alan Walker,43700000,12915625292,418,Music,2012,11.5,3.028985507246377
23,Speed Records,42600000,26883212099,10937,Music,2012,11.5,79.2536231884058
24,XXXTENTACION,39300000,10540500880,133,Music,2015,8.5,1.303921568627451
25,GR6 EXPLODE,39000000,25243329390,3045,Music,2014,9.5,26.710526315789476
26,Goldmines Gaane Sune Ansune,38500000,16866024555,3551,Music,2015,8.5,34.81372549019608
27,One Direction,38200000,13643169970,157,Music,2010,13.5,0.9691358024691358
28,Daddy Yankee,38000000,22808385261,505,Music,2011,12.5,3.3666666666666667
29,Bruno Mars,36800000,19469763943,99,Music,2006,17.5,0.4714285714285715
30,Maroon 5,36600000,22634628718,172,Music,2006,17.5,0.8190476190476191
31,Ozuna,36200000,23423534244,196,Music,2016,7.5,2.1777777777777776
32,La Granja de ZenÃ³n,35900000,27264888743,654,Music,2013,10.5,5.190476190476191
33,T-Series Bollywood Classics,35500000,22700455357,2009,Music,2012,11.5,14.557971014492752
34,T-Series Apna Punjab,34700000,21374152095,7701,Music,2011,12.5,51.34
35,Geet MP3,34300000,12799774787,682,Music,2016,7.5,7.577777777777778
36,J Balvin,34100000,23038893643,141,Music,2011,12.5,0.94
37,Desi Music Factory,33700000,10201205794,130,Music,2014,9.5,1.1403508771929824
38,Rajshri,33700000,14959322139,3735,Music,2006,17.5,17.785714285714285
39,NoCopyrightSounds,33400000,10567136166,1336,Music,2011,12.5,8.906666666666666
40,DisneyMusicVEVO,32800000,28715963909,2090,Music,2010,13.5,12.901234567901234
41,The Weeknd,32800000,23586660704,169,Music,2011,12.5,1.1266666666666667
42,KAROL G,32200000,18845282574,134,Music,2013,10.5,1.0634920634920635
43,SMTOWN,31900000,27476405673,4165,Music,2006,17.5,19.833333333333332
44,Worldwide Records Bhojpuri,31800000,16538805765,6527,Music,2012,11.5,47.29710144927537
45,JustinBieberVEVO,31600000,26627840375,204,Music,2009,14.5,1.1724137931034482
46,ImagineDragons,30700000,16896708833,93,Music,2009,14.5,0.5344827586206896
47,Trap Nation,30400000,14047278193,2725,Music,2012,11.5,19.746376811594203
48,Adele,30300000,14272139558,15,Music,2008,15.5,0.08064516129032258
49,Spinnin' Records,30100000,19667747365,11516,Music,2007,16.5,58.161616161616166
50,Shawn Mendes,30000000,12877530494,133,Music,2011,12.5,0.8866666666666667
51,Ultra Records,29600000,17247454456,4906,Music,2006,17.5,23.361904761904764
52,Maluma,29300000,21307485562,35,Music,2018,5.5,0.5303030303030303
53,Aditya Music India,28500000,25921280625,21599,Music,2008,15.5,116.1236559139785
54,Michael Jackson,28400000,14491445485,15,Music,2005,18.5,0.06756756756756757
55,Drake,28200000,15429557769,58,Music,2009,14.5,0.3333333333333333
