rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,Aaj Tak,58000000,25556464730,284031,News & Politics,2009,14.5,1632.3620689655172
2,YouTube,36500000,3039820958,746,News & Politics,1970,53.5,1.161993769470405
3,IndiaTV,35900000,16345614432,273765,News & Politics,2006,17.5,1303.642857142857
4,Zee News,30900000,17007327120,180177,News & Politics,2007,16.5,909.9848484848485
5,Raffy Tulfo in Action,26600000,15137974874,10040,News & Politics,2016,7.5,111.55555555555556
6,The Lallantop,25400000,10571804500,51262,News & Politics,2015,8.5,502.5686274509804
7,Tlnovelas,21600000,15131749508,39516,News & Politics,2013,10.5,313.61904761904765
8,SOMOY TV,20000000,12456254435,150178,News & Politics,2015,8.5,1472.3333333333333
9,DLS News,19500000,2281232722,4765,News & Politics,2017,6.5,61.08974358974359
10,Sebastián Yatra,18000000,10525706028,237,News & Politics,2013,10.5,1.8809523809523812
11,News18 India,17900000,7503181945,183759,News & Politics,2007,16.5,928.0757575757575
12,News 24,17800000,8502199454,226702,News & Politics,2014,9.5,1988.6140350877192
13,BBC News Hindi,16600000,7106822156,21235,News & Politics,2009,14.5,122.04022988505749
14,NMF News,16600000,7463746857,112320,News & Politics,2013,10.5,891.4285714285714
15,Thairath Online,16300000,14674016831,244828,News & Politics,2010,13.5,1511.283950617284
16,Narendra Modi,16100000,3481559959,20788,News & Politics,2007,16.5,104.989898989899
17,Republic Bharat,16100000,8088474519,95198,News & Politics,2019,4.5,1762.9259259259259
18,NDTV India,15300000,6650188241,91776,News & Politics,2008,15.5,493.4193548387097
19,CNN,15300000,14260292520,160396,News & Politics,2005,18.5,722.5045045045044
20,ABS-CBN News,15100000,10507184081,209500,News & Politics,2009,14.5,1204.0229885057472
21,KOMPASTV,15100000,11899915952,270015,News & Politics,2013,10.5,2142.9761904761904
22,ABC News,14700000,13051683594,80928,News & Politics,2006,17.5,385.37142857142857
23,BBC News,14500000,4620094714,19008,News & Politics,2006,17.5,90.51428571428572
24,Jamuna TV,14000000,12209415644,110316,News & Politics,2017,6.5,1414.3076923076924
25,Geo News,13800000,5781916099,190911,News & Politics,2007,16.5,964.1969696969696
26,GMA Integrated News,13500000,9614515427,296235,News & Politics,2007,16.5,1496.1363636363637
27,AlJazeera Arabic  قناة الجزيرة,12300000,6300896282,168869,News & Politics,2007,16.5,852.8737373737373
28,ARY News,12200000,6823054377,84609,News & Politics,2013,10.5,671.5
29,Inside Edition,12000000,21872806884,31033,News & Politics,2012,11.5,224.8768115942029
30,Vox,11400000,3265159278,1598,News & Politics,2014,9.5,14.017543859649123
31,Oneindia Hindi | वनइंडिया हिंदी,11400000,4445029852,143585,News & Politics,2015,8.5,1407.6960784313726
32,tvOneNews,11200000,7465256255,106985,News & Politics,2014,9.5,938.4649122807018
33,BBC News عربي,11000000,4595102373,38112,News & Politics,2009,14.5,219.0344827586207
34,ABP MAJHA,11000000,9350686473,309956,News & Politics,2014,9.5,2718.9122807017543
35,Fox News,10600000,14908462268,94128,News & Politics,2006,17.5,448.22857142857146
36,WIRED,10400000,3672372433,3724,News & Politics,2005,18.5,16.774774774774773
37,เรื่องเล่าเช้านี้,10400000,7591689758,121718,News & Politics,2012,11.5,882.0144927536231
38,CNN Indonesia,10300000,5507462695,89852,News & Politics,2014,9.5,788.1754385964913
39,truly,10100000,5755163415,2974,News & Politics,2006,17.5,14.161904761904763
40,News Nation,9840000,3795888173,118084,News & Politics,2012,11.5,855.6811594202899
41,News Tak,9800000,3872633982,48409,News & Politics,2017,6.5,620.6282051282052
42,Tv9 Kannada,9680000,10031276616,270689,News & Politics,2010,13.5,1670.9197530864196
43,Ennahar TV,9620000,3252986055,122878,News & Politics,2013,10.5,975.2222222222222
44,PuthiyathalaimuraiTV,9430000,5205743673,265993,News & Politics,2012,11.5,1927.4855072463768
45,OTV,9350000,8695647886,258018,News & Politics,2012,11.5,1869.695652173913
46,Najwa Shihab,9190000,1368413886,2592,News & Politics,2017,6.5,33.23076923076923
47,V6 News Telugu,9130000,9608910853,257481,News & Politics,2013,10.5,2043.5
48,SAMAA TV,9100000,3536384663,126733,News & Politics,2011,12.5,844.8866666666667
49,Polimer News,9100000,10654071859,201083,News & Politics,2014,9.5,1763.8859649122808
50,Al Hayah TV Network,9090000,3234505121,150275,News & Politics,2014,9.5,1318.201754385965
51,ABP ANANDA,8920000,4726269220,197506,News & Politics,2012,11.5,1431.2028985507247
52,Россия 24,8850000,9756218275,258594,News & Politics,2012,11.5,1873.8695652173913
53,TV9 Marathi,8760000,11613474634,296186,News & Politics,2014,9.5,2598.122807017544
54,Nasya Kaila Nazifah,8640000,2432052673,750,News & Politics,2016,7.5,8.333333333333334
55,VICE News,8610000,3014515072,6390,News & Politics,2013,10.5,50.714285714285715
56,The School of Life,8530000,840055104,921,News & Politics,2010,13.5,5.685185185185186
57,Thanthi TV,8520000,9219452812,307506,News & Politics,2012,11.5,2228.304347826087
58,Independent Television,8320000,4051247200,110034,News & Politics,2011,12.5,733.56
59,UP Tak,8320000,4382865958,38683,News & Politics,2018,5.5,586.1060606060606
60,NBC News,8230000,5633114739,53869,News & Politics,2006,17.5,256.5190476190476
61,Navbharat Times नवभारत टाइम्स,8150000,3152959005,68769,News & Politics,2014,9.5,603.2368421052631
62,asianetnews,8090000,5817475289,221249,News & Politics,2008,15.5,1189.510752688172
63,ON,7980000,2865467836,92825,News & Politics,2010,13.5,572.9938271604939
64,Crime Tak,7960000,3354490406,19812,News & Politics,2018,5.5,300.1818181818182
65,Manorama News,7940000,9020142586,424857,News & Politics,2014,9.5,3726.8157894736846
66,Univision Noticias,7940000,4823170676,67970,News & Politics,2012,11.5,492.536231884058
67,National Dastak,7910000,2994276696,37244,News & Politics,2015,8.5,365.13725490196083
68,Headlines India,7800000,2463756060,11437,News & Politics,2016,7.5,127.07777777777778
69,Zee 24 Taas,7730000,5917415695,303529,News & Politics,2010,13.5,1873.635802469136
70,WION,7650000,4044687551,108778,News & Politics,2016,7.5,1208.6444444444444
71,Zee Hindustan,7600000,2778275026,87100,News & Politics,2015,8.5,853.921568627451
72,Chouftv - شوف تيفي,7600000,5374814511,200109,News & Politics,2012,11.5,1450.0652173913043
73,Channel 24,7580000,3232423508,107251,News & Politics,2016,7.5,1191.6777777777777
74,Sansad TV,7560000,1407798401,75712,News & Politics,2011,12.5,504.74666666666667
75,Tribun Timur,7550000,7478103585,49611,News & Politics,2011,12.5,330.74
76,NTV Telugu,7450000,7373242523,289104,News & Politics,2014,9.5,2536.0
77,India Today,7420000,2591674799,149156,News & Politics,2015,8.5,1462.313725490196
78,24 News HD,7150000,3100774403,150793,News & Politics,2015,8.5,1478.3627450980393
79,The Live Tv,7090000,3373369618,10348,News & Politics,2018,5.5,156.78787878787878
80,METRO TV,7020000,3077219026,108740,News & Politics,2007,16.5,549.1919191919192
81,Aliashraf Purgafari,7000000,1702582957,391,News & Politics,2013,10.5,3.1031746031746033
82,Sun News,6920000,3346898870,94074,News & Politics,2016,7.5,1045.2666666666667
83,86 & Custom Protection NET,6900000,2841539842,7775,News & Politics,2015,8.5,76.22549019607844
84,Kanak News,6880000,5478712944,218820,News & Politics,2011,12.5,1458.8
85,Noticias Telemundo,6870000,4182393879,63302,News & Politics,2013,10.5,502.39682539682536
86,Official iNews,6770000,4215507818,250997,News & Politics,2015,8.5,2460.7549019607845
87,BOL News,6740000,3180777285,120896,News & Politics,2017,6.5,1549.948717948718
88,Ravish Kumar Official,6630000,349048938,213,News & Politics,2022,1.5,11.833333333333334
