rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,TEDx Talks,38600000,7358287382,200932,Nonprofits & Activism,2009,14.5,1154.7816091954023
2,Bispo Bruno Leonardo,17200000,3570310522,4914,Nonprofits & Activism,2016,7.5,54.6
3,Alafasy,8980000,1713041724,2739,Nonprofits & Activism,2009,14.5,15.741379310344827
4,Jubilee,8180000,2151955633,1083,Nonprofits & Activism,2010,13.5,6.685185185185186
5,Алексей Навальный,6300000,1459489689,486,Nonprofits & Activism,2013,10.5,3.857142857142857
6,Mustafa Hosny,6020000,681642987,8509,Nonprofits & Activism,2009,14.5,48.90229885057471
7,varlamov,4510000,1530462959,1742,Nonprofits & Activism,2008,15.5,9.365591397849462
8,Телеканал ICTV,4060000,3460221941,33676,Nonprofits & Activism,2009,14.5,193.54022988505747
9,Anonymous Official,3720000,83829177,261,Nonprofits & Activism,2012,11.5,1.891304347826087
10,Hayalhanem,3540000,611471331,1015,Nonprofits & Activism,2013,10.5,8.055555555555555
11,Sözler Köşkü,3480000,551178712,754,Nonprofits & Activism,2011,12.5,5.026666666666666
12,Осторожно: Собчак,3320000,807074056,539,Nonprofits & Activism,2017,6.5,6.91025641025641
13,Gurudev Sri Sri Ravi Shankar,3220000,186034286,889,Nonprofits & Activism,2008,15.5,4.779569892473118
14,Галина Кухня,3210000,466760990,1252,Nonprofits & Activism,2016,7.5,13.911111111111111
15,Joel Osteen,3160000,546089248,1128,Nonprofits & Activism,2006,17.5,5.371428571428571
16,Pe Marcelo Rossi,3140000,1138971040,3247,Nonprofits & Activism,2017,6.5,41.62820512820513
17,大树君TreeMan,3070000,973028178,903,Nonprofits & Activism,2017,6.5,11.576923076923078
18,ChebuRussiaTV,3068672,345988435,161,Nonprofits & Activism,2014,9.5,1.412280701754386
19,Bill Gates,3020000,447972323,648,Nonprofits & Activism,2012,11.5,4.695652173913044
20,Анатолий Шарий,2900000,4810544126,8469,Nonprofits & Activism,2013,10.5,67.21428571428571
21,United Nations,2700000,369474397,15547,Nonprofits & Activism,2006,17.5,74.03333333333333
22,Acharya Balkrishna,2690000,354962313,5743,Nonprofits & Activism,2013,10.5,45.57936507936508
23,Voice of America,2620000,1169003242,44339,Nonprofits & Activism,2008,15.5,238.38172043010752
24,"САД, ОГОРОД,СВОИМИ РУКАМИ",2530000,465770028,1477,Nonprofits & Activism,2015,8.5,14.480392156862743
25,مكاسب,2520000,303291076,468,Nonprofits & Activism,2013,10.5,3.714285714285714
26,Emm Pee,2400000,707332631,4365,Nonprofits & Activism,2011,12.5,29.099999999999998
27,المحسنين,2400000,267467928,166,Nonprofits & Activism,2007,16.5,0.8383838383838383
28,Ubqari,2290000,630999118,5818,Nonprofits & Activism,2016,7.5,64.64444444444445
29,Пятый канал Россия,2280000,1301977107,5511,Nonprofits & Activism,2014,9.5,48.34210526315789
30,The Church of Jesus Christ of Latter-day Saints,2260000,702824912,904,Nonprofits & Activism,2008,15.5,4.860215053763441
31,القناة الرسمية للشيخ د. محمد العريفي,2230000,151093112,2095,Nonprofits & Activism,2010,13.5,12.9320987654321
32,Báo Sức khoẻ & Đời sống,2170000,1362317426,27027,Nonprofits & Activism,2016,7.5,300.3
33,JesusCopy,2090000,150604404,1289,Nonprofits & Activism,2012,11.5,9.340579710144928
34,Популярная политика,2050000,1183267513,4671,Nonprofits & Activism,2017,6.5,59.88461538461539
35,ARIRANG K-POP,1970000,888163211,33089,Nonprofits & Activism,2008,15.5,177.8978494623656
36,ЛЕВ ПРОТИВ,1960000,365497805,396,Nonprofits & Activism,2014,9.5,3.4736842105263155
37,Amr Khaled | عمرو خالد,1960000,309524627,9874,Nonprofits & Activism,2007,16.5,49.868686868686865
38,TV Center,1930000,1200993593,12292,Nonprofits & Activism,2006,17.5,58.53333333333333
39,Ankur Narula Ministries,1900000,338931285,4306,Nonprofits & Activism,2015,8.5,42.2156862745098
40,Kata Ustadz,1880000,62182986,474,Nonprofits & Activism,2015,8.5,4.647058823529412
41,Nouman Ali Khan - Official - Bayyinah,1800000,190906735,1438,Nonprofits & Activism,2009,14.5,8.264367816091953
42,haramaininfo,1800000,1537605,193,Nonprofits & Activism,2012,11.5,1.3985507246376814
43,Onliner,1800000,393271763,2294,Nonprofits & Activism,2012,11.5,16.6231884057971
44,DrAhmedEmara,1750000,142636657,553,Nonprofits & Activism,2011,12.5,3.686666666666667
45,EMCI TV,1630000,446030894,8370,Nonprofits & Activism,2012,11.5,60.65217391304348
46,Tez Kabar,1590000,365166531,8558,Nonprofits & Activism,2017,6.5,109.71794871794872
47,Posnavatel TV,1590000,709717047,745,Nonprofits & Activism,2018,5.5,11.287878787878789
48,Josué Gonçalves,1550000,88145830,2388,Nonprofits & Activism,2007,16.5,12.06060606060606
49,FreeQuranEducation,1530000,149948625,2359,Nonprofits & Activism,2010,13.5,14.561728395061728
50,تنفس,1510000,427939,22,Nonprofits & Activism,2018,5.5,0.3333333333333333
51,Mindvalley Talks,1480000,94653806,463,Nonprofits & Activism,2010,13.5,2.858024691358025
52,Absolute Motivation,1450000,127765276,529,Nonprofits & Activism,2014,9.5,4.640350877192982
53,Global Citizen,1450000,585050143,2662,Nonprofits & Activism,2008,15.5,14.311827956989248
54,Rosalina's Kitchen 蘿潔塔的廚房,1430000,175256898,555,Nonprofits & Activism,2016,7.5,6.166666666666667
55,The Daily Reminder,1410000,140403586,1550,Nonprofits & Activism,2011,12.5,10.333333333333334
56,David Diga Hernandez,1390000,169554298,1719,Nonprofits & Activism,2007,16.5,8.681818181818182
57,NENAREMEDIOS,1390000,146523519,710,Nonprofits & Activism,2016,7.5,7.888888888888889
58,خادمة الإسلام,1380000,129108038,334,Nonprofits & Activism,2010,13.5,2.0617283950617282
59,Young America's Foundation,1380000,1078566722,3098,Nonprofits & Activism,2007,16.5,15.646464646464645
60,قناة كربلاء الفضائية,1350000,85733969,30485,Nonprofits & Activism,2013,10.5,241.94444444444446
61,Facebook,1330000,266734298,168,Nonprofits & Activism,2009,14.5,0.9655172413793104
62,English Heritage,1320000,132481849,605,Nonprofits & Activism,2010,13.5,3.734567901234568
63,NEMAGIA,1310000,306631285,179,Nonprofits & Activism,2013,10.5,1.4206349206349207
64,Jenni’s Hacks,1300000,420274907,454,Nonprofits & Activism,2020,3.5,10.80952380952381
65,법륜스님의 즉문즉설,1300000,828764939,1982,Nonprofits & Activism,2011,12.5,13.213333333333333
66,Canções Marcantes,1290000,243536339,3249,Nonprofits & Activism,2015,8.5,31.85294117647059
67,Юрист Антон Долгих,1260000,288070556,658,Nonprofits & Activism,2008,15.5,3.5376344086021505
68,القناة الرسمية للشيخ ناصر القطامي,1240000,139752875,2277,Nonprofits & Activism,2009,14.5,13.086206896551724
69,Екклесиаст,1230000,135538887,541,Nonprofits & Activism,2017,6.5,6.935897435897435
70,Jesus me defenda,1230000,202807353,7339,Nonprofits & Activism,2017,6.5,94.08974358974359
71,AlQuranHD القران الكريم,1210000,22497657,199,Nonprofits & Activism,2011,12.5,1.3266666666666667
