rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,✿ Kids Diana Show,112000000,93532793878,1111,People & Blogs,2015,8.5,10.892156862745098
2,Like Nastya,106000000,90738599921,812,People & Blogs,2016,7.5,9.022222222222222
3,BLACKPINK,90300000,32450170623,545,People & Blogs,2016,7.5,6.055555555555556
4,ABS-CBN Entertainment,44300000,50376207289,193889,People & Blogs,2008,15.5,1042.4139784946235
5,Shakira,43700000,27766644779,327,People & Blogs,2005,18.5,1.472972972972973
6,Kimberly Loaiza,41600000,5681679638,291,People & Blogs,2016,7.5,3.233333333333333
7,shfa2 - شفا,39900000,24046351080,1600,People & Blogs,2017,6.5,20.512820512820515
8,LUCCAS NETO - LUCCAS TOON,39600000,22436781411,2324,People & Blogs,2014,9.5,20.385964912280702
9,shfa,38600000,21659457990,1000,People & Blogs,2015,8.5,9.80392156862745
10,ABP NEWS,37400000,13286016666,302716,People & Blogs,2012,11.5,2193.5942028985505
11,Maria Clara & JP,37100000,24334248196,745,People & Blogs,2015,8.5,7.303921568627451
12,Ricis Official,34900000,6123962016,2763,People & Blogs,2016,7.5,30.7
13,YOLO AVENTURAS,32300000,10020630409,1707,People & Blogs,2018,5.5,25.863636363636363
14,MrBeast 2,28500000,4728900448,111,People & Blogs,2020,3.5,2.642857142857143
15,Sandeep Maheshwari,27800000,2313771704,588,People & Blogs,2012,11.5,4.260869565217392
16,★ Kids Roma Show,27500000,10367150158,642,People & Blogs,2015,8.5,6.294117647058823
17,Beast Reacts,27400000,4553941865,241,People & Blogs,2016,7.5,2.6777777777777776
18,NichLmao,26600000,14428934554,870,People & Blogs,2018,5.5,13.181818181818182
19,LosPolinesios,25700000,7479880397,982,People & Blogs,2012,11.5,7.115942028985508
20,Rans Entertainment,25400000,6458535642,3726,People & Blogs,2015,8.5,36.529411764705884
21,ABPLIVE,25400000,8093374470,182828,People & Blogs,2017,6.5,2343.9487179487182
22,WB Kids,25300000,11102248479,2025,People & Blogs,2015,8.5,19.85294117647059
23,Las Ratitas,25200000,9609010942,225,People & Blogs,2015,8.5,2.205882352941176
24,mujjuu___14,25200000,14860085249,874,People & Blogs,2020,3.5,20.80952380952381
25,Diana and Roma EN,24000000,7279984488,511,People & Blogs,2011,12.5,3.4066666666666667
26,Mister Max,23700000,15521844547,1099,People & Blogs,2014,9.5,9.640350877192983
27,Miss Katy,23500000,14719493029,1044,People & Blogs,2014,9.5,9.157894736842104
28,Lady Gaga,23300000,15813515173,172,People & Blogs,2008,15.5,0.924731182795699
29,LeoNata Family,23200000,27660610996,2340,People & Blogs,2021,2.5,78.0
30,TED,23100000,2555944612,4445,People & Blogs,2006,17.5,21.166666666666668
31,Vania Mania Kids,22900000,10113317982,985,People & Blogs,2015,8.5,9.656862745098039
32,Sun TV,22900000,21357932221,61064,People & Blogs,2016,7.5,678.4888888888889
33,mmoshaya,22600000,17564393017,1189,People & Blogs,2010,13.5,7.339506172839506
34,Smile Family,22300000,8676222051,519,People & Blogs,2018,5.5,7.863636363636363
35,Zach Choi ASMR,22200000,6056876641,951,People & Blogs,2014,9.5,8.342105263157896
36,Stokes Twins,22000000,4546481201,258,People & Blogs,2008,15.5,1.3870967741935483
37,Sourav Joshi Vlogs,21900000,9538395400,1394,People & Blogs,2019,4.5,25.814814814814813
38,Netflix India,21900000,7827523294,3643,People & Blogs,2016,7.5,40.47777777777778
39,Tekashi 6ix9ine,21700000,5962672180,51,People & Blogs,2018,5.5,0.7727272727272728
40,SMOL,21600000,22275668824,3754,People & Blogs,2021,2.5,125.13333333333333
41,Ishaan Ali 11,21500000,12885580336,950,People & Blogs,2016,7.5,10.555555555555555
42,The Royalty Family,21400000,6357945188,734,People & Blogs,2017,6.5,9.41025641025641
43,tuzelity SHUFFLE,21300000,8886314704,892,People & Blogs,2015,8.5,8.745098039215685
44,LIV Crime,21300000,11261755752,9919,People & Blogs,2020,3.5,236.16666666666666
45,Baim Paula,21200000,4537771886,2331,People & Blogs,2016,7.5,25.900000000000002
46,Jake Paul,20400000,7321713319,1019,People & Blogs,2013,10.5,8.087301587301587
47,BuzzFeedVideo,20100000,17916685476,7735,People & Blogs,2011,12.5,51.56666666666666
48,Crafty Panda,19700000,5761558448,763,People & Blogs,2017,6.5,9.782051282051283
49,Troom Troom Es,19700000,7458352988,2912,People & Blogs,2016,7.5,32.355555555555554
50,JukiLop,19500000,1578952074,85,People & Blogs,2017,6.5,1.0897435897435896
51,shane,19200000,4328804316,570,People & Blogs,2005,18.5,2.5675675675675675
52,Willie Salim,19100000,4108314303,677,People & Blogs,2014,9.5,5.938596491228069
53,HiMan,18900000,2861248773,375,People & Blogs,2014,9.5,3.289473684210526
54,Cardi B,18900000,7660954139,62,People & Blogs,2016,7.5,0.688888888888889
55,Dhar Mann,18600000,11436417178,921,People & Blogs,2018,5.5,13.954545454545455
56,The ACE Family,18500000,4559759825,712,People & Blogs,2016,7.5,7.911111111111111
57,Like Nastya Vlog,18500000,8164160069,493,People & Blogs,2016,7.5,5.477777777777778
58,Bobby chourasiya,18400000,10015236281,441,People & Blogs,2019,4.5,8.166666666666666
59,Naisa Alifia Yuriza (N.A.Y),18300000,1611362922,787,People & Blogs,2017,6.5,10.08974358974359
60,INCRÍVEL,18200000,3221247301,6923,People & Blogs,2017,6.5,88.75641025641026
61,Zuni and Family,18000000,6767094808,214,People & Blogs,2017,6.5,2.743589743589743
62,KatieAngel,18000000,3870628599,977,People & Blogs,2015,8.5,9.57843137254902
63,Priyal Kukreja,17900000,11113845944,772,People & Blogs,2021,2.5,25.733333333333334
64,tanboy kun,17800000,3672864248,741,People & Blogs,2016,7.5,8.233333333333333
65,David Dobrik,17800000,7181440568,536,People & Blogs,2014,9.5,4.701754385964912
66,jaanvi patel,17800000,7970285327,512,People & Blogs,2018,5.5,7.757575757575758
67,Koray Zeynep,17600000,16755452600,2098,People & Blogs,2016,7.5,23.311111111111114
68,deepesh zo,17400000,7388199001,553,People & Blogs,2021,2.5,18.433333333333334
69,Danny Fitt,17300000,9691449706,2349,People & Blogs,2016,7.5,26.099999999999998
70,XO TEAM,16700000,15066271861,3256,People & Blogs,2021,2.5,108.53333333333335
71,Tu COSMOPOLIS,16700000,5095255753,8735,People & Blogs,2014,9.5,76.62280701754386
72,ExtraPolinesios,16200000,4816562077,502,People & Blogs,2012,11.5,3.6376811594202896
73,Canal IN,16100000,2695918264,723,People & Blogs,2017,6.5,9.269230769230768
74,sagar kalra (Shorts),16000000,6555070472,453,People & Blogs,2017,6.5,5.8076923076923075
75,ГЛЕНТ,16000000,1905177398,355,People & Blogs,2019,4.5,6.5740740740740735
76,Pokémon Asia Official (Hindi),15900000,892976717,196,People & Blogs,2017,6.5,2.5128205128205128
77,Arif muhammad,15800000,4158693929,544,People & Blogs,2017,6.5,6.9743589743589745
78,Blippi Español,15600000,9036790082,600,People & Blogs,2017,6.5,7.6923076923076925
79,5-Minute Crafts FAMILY,15600000,6179592865,4261,People & Blogs,2018,5.5,64.56060606060606
80,ILYA BORZOV,15600000,10155682493,2178,People & Blogs,2021,2.5,72.60000000000001
81,Kerajinan 5-Menit,15400000,4759245121,4197,People & Blogs,2018,5.5,63.59090909090909
82,Roman Atwood Vlogs,15400000,5469871651,1756,People & Blogs,2013,10.5,13.936507936507937
83,Chetan Monga Vlogs,15200000,9930640754,901,People & Blogs,2014,9.5,7.9035087719298245
84,PowerfulJRE,15200000,3075153465,1037,People & Blogs,2013,10.5,8.23015873015873
85,Beast Philanthropy,15200000,287477367,25,People & Blogs,2020,3.5,0.5952380952380952
86,It's Mamix,15100000,1783489495,210,People & Blogs,2017,6.5,2.692307692307692
87,Ranz Kyle,15100000,1765295235,531,People & Blogs,2008,15.5,2.8548387096774195
88,Hongyu ASMR 홍유,15100000,4996036314,586,People & Blogs,2018,5.5,8.878787878787879
89,ZutiGang,15100000,16070835844,1371,People & Blogs,2021,2.5,45.699999999999996
90,Mohamed Ramadan I محمد رمضان,15100000,5356662290,756,People & Blogs,2014,9.5,6.631578947368421
91,TV9 Bharatvarsh,15000000,10592191905,294457,People & Blogs,2018,5.5,4461.469696969697
92,НТВ,14900000,439098,1,People & Blogs,2008,15.5,0.005376344086021505
93,Meghan Trainor,14800000,8675732543,233,People & Blogs,2008,15.5,1.2526881720430108
94,5-Minute Crafts Recycle,14800000,8890130360,3887,People & Blogs,2019,4.5,71.98148148148148
95,Auron,14600000,3370045108,965,People & Blogs,2013,10.5,7.658730158730158
96,Indore Physical Academy,14600000,4200884159,1844,People & Blogs,2014,9.5,16.17543859649123
97,Boram Tube ToysReview [보람튜브 토이리뷰],14600000,5018130479,619,People & Blogs,2016,7.5,6.877777777777777
98,ViralHog,14600000,19619904914,41187,People & Blogs,2014,9.5,361.2894736842106
99,Planeta das Gêmeas,14600000,4627290715,951,People & Blogs,2015,8.5,9.323529411764705
100,Harry Styles,14500000,5748973883,17,People & Blogs,2017,6.5,0.21794871794871795
101,Super Polina,14200000,4776698710,576,People & Blogs,2014,9.5,5.052631578947368
102,ETV Jabardasth,14100000,13598455048,9659,People & Blogs,2015,8.5,94.69607843137254
103,Dental Digest,14000000,7555993894,325,People & Blogs,2020,3.5,7.738095238095238
104,TV Ana Emilia,14000000,4691071262,653,People & Blogs,2014,9.5,5.728070175438597
105,123 GO! Spanish,13900000,5029376029,523,People & Blogs,2019,4.5,9.685185185185185
106,JD Pantoja,13800000,1502049993,16,People & Blogs,2017,6.5,0.20512820512820515
107,Bobon Santoso,13700000,1871998850,648,People & Blogs,2015,8.5,6.352941176470588
108,MyMissAnand,13700000,4976530662,341,People & Blogs,2014,9.5,2.9912280701754383
109,Peet Montzingo,13700000,10246175619,321,People & Blogs,2014,9.5,2.8157894736842106
110,Поззи,13500000,6802045893,3152,People & Blogs,2012,11.5,22.840579710144926
111,Stray Kids,13500000,3452515114,846,People & Blogs,2017,6.5,10.846153846153847
112,The World Adventures हिन्दी,13400000,2140309185,1030,People & Blogs,2016,7.5,11.444444444444445
113,RaptorGamer,13400000,2926098246,1452,People & Blogs,2016,7.5,16.133333333333333
114,Go Ami Go!,13400000,1866648199,252,People & Blogs,2015,8.5,2.4705882352941178
115,The Q,13400000,4309849973,302,People & Blogs,2017,6.5,3.871794871794872
116,Kids Line♡キッズライン,13400000,9144182219,2742,People & Blogs,2011,12.5,18.28
117,웃웃TwinsFromRussia,13300000,9439018124,6910,People & Blogs,2011,12.5,46.06666666666666
118,Луномосик,13300000,6516664204,606,People & Blogs,2015,8.5,5.9411764705882355
119,CookingShooking Hindi,13200000,1765628601,393,People & Blogs,2017,6.5,5.038461538461538
120,Knowledge Tv हिन्दी,13200000,1963894131,2760,People & Blogs,2014,9.5,24.210526315789476
121,Painzeiro,13200000,2582098866,1084,People & Blogs,2015,8.5,10.627450980392156
122,Alex Gonzaga Official,13100000,1408002939,287,People & Blogs,2017,6.5,3.6794871794871793
123,办公室小野 Ms Yeah,13100000,4437522759,435,People & Blogs,2017,6.5,5.576923076923077
124,Pastor Antônio Júnior,12900000,2133736452,4727,People & Blogs,2013,10.5,37.51587301587302
125,AlArabiya العربية,12900000,7576876224,170095,People & Blogs,2006,17.5,809.9761904761905
126,ANNA KOVA,12900000,14358141149,2824,People & Blogs,2020,3.5,67.23809523809524
127,설기양SULGI,12700000,3546645667,686,People & Blogs,2012,11.5,4.971014492753623
128,CaseyNeistat,12600000,3153985575,1101,People & Blogs,2010,13.5,6.796296296296297
129,Free Fire India Official,12500000,1707920217,1504,People & Blogs,2018,5.5,22.787878787878785
130,Ja Mill,12500000,1302818088,567,People & Blogs,2016,7.5,6.3
131,Gibby :),12500000,2868881120,228,People & Blogs,2014,9.5,2.0
132,Pari's Lifestyle,12500000,7762780477,460,People & Blogs,2018,5.5,6.96969696969697
133,Troom Troom Indonesia,12500000,5396946147,1900,People & Blogs,2019,4.5,35.18518518518518
134,Hero Movies 2023,12400000,1699614671,696,People & Blogs,2017,6.5,8.923076923076923
135,Bela Bagunça,12300000,2877968570,1063,People & Blogs,2015,8.5,10.42156862745098
136,123 GO!,12300000,4768059015,570,People & Blogs,2019,4.5,10.555555555555555
137,СТС,12300000,10738659040,10794,People & Blogs,2007,16.5,54.51515151515151
138,Kylie Jenner,12200000,792546813,156,People & Blogs,2015,8.5,1.5294117647058822
139,DRJ Records Specials,12200000,2760744006,3229,People & Blogs,2017,6.5,41.3974358974359
140,LittleGlove,12200000,12190850811,1644,People & Blogs,2020,3.5,39.142857142857146
141,RupalChoudhary TD,12100000,3937806176,985,People & Blogs,2019,4.5,18.24074074074074
142,NANDO,12100000,1380182804,339,People & Blogs,2018,5.5,5.136363636363636
143,Kendrick Lamar,12100000,5872835140,22,People & Blogs,2018,5.5,0.3333333333333333
144,Oum Walid,12000000,2671271940,1697,People & Blogs,2015,8.5,16.637254901960784
145,Planet Earth INDIA,12000000,1786720076,671,People & Blogs,2011,12.5,4.473333333333334
146,MARIANA,11900000,1509236351,363,People & Blogs,2018,5.5,5.5
147,Ruh,11900000,6651580004,937,People & Blogs,2021,2.5,31.233333333333334
148,Garena Free Fire LATAM,11800000,1713536269,1865,People & Blogs,2018,5.5,28.257575757575754
149,Amara Que Linda,11800000,998060441,423,People & Blogs,2014,9.5,3.710526315789474
150,Dobre Brothers,11800000,3509261943,787,People & Blogs,2017,6.5,10.08974358974359
151,Olivia Rodrigo,11800000,3534542761,31,People & Blogs,2014,9.5,0.2719298245614035
152,Czn Burak,11800000,4622424255,428,People & Blogs,2016,7.5,4.7555555555555555
153,gogo 2728,11800000,5364779105,393,People & Blogs,2021,2.5,13.1
154,Family Box,11800000,9537619777,1214,People & Blogs,2015,8.5,11.901960784313724
155,Naz | ناز,11700000,0,0,People & Blogs,2016,7.5,0.0
156,Joe HaTTab,11600000,1326696840,500,People & Blogs,2012,11.5,3.6231884057971016
157,Deepali Markam,11500000,3946821705,230,People & Blogs,2019,4.5,4.2592592592592595
158,KiKiDo,11500000,8069080823,808,People & Blogs,2015,8.5,7.921568627450981
159,승비니 Seungbini,11500000,8416801746,658,People & Blogs,2021,2.5,21.933333333333334
160,Muhammad Hasan Abdillah,11400000,1206696043,309,People & Blogs,2012,11.5,2.239130434782609
161,Mikael TubeHD,11400000,8044153205,1541,People & Blogs,2014,9.5,13.517543859649123
162,Virgínia Fonseca,11400000,1421307273,1268,People & Blogs,2016,7.5,14.088888888888889
163,Watch Me,11400000,4567911626,1120,People & Blogs,2015,8.5,10.980392156862743
164,Lilifilm Official,11300000,539126400,25,People & Blogs,2018,5.5,0.37878787878787884
165,Mo Vlogs,11300000,3007754638,1954,People & Blogs,2013,10.5,15.507936507936508
166,せんももあいしーチャンネル,11200000,7779633292,3375,People & Blogs,2006,17.5,16.071428571428573
167,Viih Tube,11200000,922266051,560,People & Blogs,2013,10.5,4.444444444444445
168,Ya - Alisa,11200000,2145798668,496,People & Blogs,2015,8.5,4.862745098039215
169,Heroine Movies 2023,11100000,1498215026,618,People & Blogs,2017,6.5,7.923076923076923
170,Ankita Bhawsar,11100000,5622001396,616,People & Blogs,2017,6.5,7.897435897435898
171,Nick DiGiovanni,11100000,5562334793,717,People & Blogs,2016,7.5,7.966666666666666
172,Doctor Mike,11000000,2583895132,682,People & Blogs,2016,7.5,7.577777777777778
173,Receitas de Pai,11000000,844679894,992,People & Blogs,2016,7.5,11.022222222222224
174,ЛИТВИН,11000000,886214895,148,People & Blogs,2016,7.5,1.6444444444444446
175,Aishwa Nahla Official,10900000,4027650051,209,People & Blogs,2018,5.5,3.1666666666666665
176,TOMORROW X TOGETHER OFFICIAL,10900000,1485664898,1612,People & Blogs,2018,5.5,24.424242424242422
177,PineappleStormTV,10900000,4870481365,315,People & Blogs,2016,7.5,3.5
178,STAR भारत,10900000,7489711755,14657,People & Blogs,2007,16.5,74.02525252525253
179,ROSALÍA,10800000,5425605890,26,People & Blogs,2011,12.5,0.17333333333333334
180,Primitive Technology,10800000,1100959689,68,People & Blogs,2015,8.5,0.6666666666666666
181,Christian Nodal,10800000,8692870261,15,People & Blogs,2017,6.5,0.1923076923076923
182,Blippi Toys,10800000,11344779271,602,People & Blogs,2015,8.5,5.901960784313726
183,Franciny Ehlke,10700000,1179060580,1002,People & Blogs,2010,13.5,6.185185185185186
184,Rawan and Rayan,10700000,3278014892,805,People & Blogs,2015,8.5,7.8921568627450975
185,T-STUDIO,10600000,1339763599,976,People & Blogs,2015,8.5,9.568627450980392
186,Ultimate Javed,10600000,2886321697,311,People & Blogs,2021,2.5,10.366666666666667
187,Samayra Narula Official,10600000,6366465962,1046,People & Blogs,2020,3.5,24.9047619047619
188,TwinRoozi 쌍둥이 루지,10600000,6572620901,518,People & Blogs,2018,5.5,7.848484848484849
189,Drishti IAS,10500000,1218832586,11656,People & Blogs,2017,6.5,149.43589743589743
190,5-Minute Recipes,10500000,3336067900,3637,People & Blogs,2019,4.5,67.35185185185185
191,Hola Amigos,10500000,5777863711,1346,People & Blogs,2019,4.5,24.925925925925924
192,Positive Energy-Funny family,10400000,3375834672,2615,People & Blogs,2021,2.5,87.16666666666667
193,As/Is,10400000,11920913930,4824,People & Blogs,2013,10.5,38.285714285714285
194,The Bee Family,10400000,3114508517,1024,People & Blogs,2013,10.5,8.126984126984127
195,The Prince Family,10300000,2700412299,1133,People & Blogs,2016,7.5,12.588888888888889
196,вДудь,10300000,2028306905,172,People & Blogs,2014,9.5,1.5087719298245614
197,CRACKS,10300000,1041469194,419,People & Blogs,2017,6.5,5.371794871794872
198,Mari Maria,10300000,1066372430,1512,People & Blogs,2014,9.5,13.263157894736842
199,Classic Mr Bean,10300000,3247341525,1392,People & Blogs,2017,6.5,17.846153846153847
200,Basim Karbalaei / باسم الكربلائي,10300000,3493222296,1317,People & Blogs,2013,10.5,10.452380952380953
201,FixEye,10200000,3638973297,1453,People & Blogs,2015,8.5,14.245098039215685
202,ETV Dhee,10200000,7236363212,4026,People & Blogs,2017,6.5,51.61538461538461
203,Bessan Ismail - بيسان اسماعيل,10200000,833506614,257,People & Blogs,2016,7.5,2.8555555555555556
204,Nihongo Mantappu,10200000,2552684337,1202,People & Blogs,2017,6.5,15.41025641025641
205,滇西小哥 Dianxi Xiaoge,10200000,3287770438,362,People & Blogs,2018,5.5,5.484848484848484
206,Family Fun Pack,10100000,15130193202,2510,People & Blogs,2011,12.5,16.733333333333334
207,Sab Kuchh Sekho Jano,10100000,1091020496,3213,People & Blogs,2016,7.5,35.699999999999996
208,ام سيف Om sayf,10100000,3523215442,424,People & Blogs,2017,6.5,5.435897435897435
209,Dynamo Gaming,10000000,1218158098,2150,People & Blogs,2010,13.5,13.271604938271606
210,Raditya Dika,10000000,2084053223,1878,People & Blogs,2007,16.5,9.484848484848484
211,Boys and Toys,10000000,4575435068,528,People & Blogs,2015,8.5,5.176470588235294
212,Desmond Dennis,10000000,4932733163,1427,People & Blogs,2007,16.5,7.207070707070707
213,FutParódias,10000000,4387664703,789,People & Blogs,2016,7.5,8.766666666666667
214,SLIME SAM SAPECA,10000000,3595828621,879,People & Blogs,2017,6.5,11.269230769230768
215,Cátia Damasceno,9980000,715995064,996,People & Blogs,2013,10.5,7.904761904761905
