rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,That Little Puff,23900000,20437622152,769,Pets & Animals,2020,3.5,18.30952380952381
2,Brave Wilderness,21000000,4941319850,982,Pets & Animals,2014,9.5,8.614035087719298
3,The Dodo,14200000,10014795468,7950,Pets & Animals,2014,9.5,69.73684210526316
4,BBC,13600000,9703754046,16046,Pets & Animals,2005,18.5,72.27927927927928
5,BBC Earth,12100000,4455521050,2451,Pets & Animals,2009,14.5,14.086206896551724
6,Maymo,11600000,5190721917,536,Pets & Animals,2006,17.5,2.5523809523809526
7,Симбочка Пимпочка,10400000,4040073217,538,Pets & Animals,2020,3.5,12.80952380952381
8,TonyTV,9310000,8163106457,646,Pets & Animals,2016,7.5,7.177777777777778
9,Animals_Home,9220000,5245876091,1016,Pets & Animals,2020,3.5,24.19047619047619
10,Boram Tube PRT,7000000,2242068295,450,Pets & Animals,2010,13.5,2.777777777777778
11,Mikecrack Fans,6940000,1550269208,1660,Pets & Animals,2016,7.5,18.444444444444446
12,Alshad Ahmad,6460000,1033073472,456,Pets & Animals,2014,9.5,4.0
13,funnyplox,6300000,2736570189,195,Pets & Animals,2010,13.5,1.2037037037037037
14,Sonyakisa8 TT,6120000,4641000575,211,Pets & Animals,2021,2.5,7.033333333333334
15,Simon's Cat,6000000,1491310347,389,Pets & Animals,2007,16.5,1.9646464646464645
16,Jamal Al-imwase ـ جمال العمواسي,5730000,1977454997,4306,Pets & Animals,2011,12.5,28.706666666666667
17,The Secret Life of my Hamster,5650000,2765336146,67,Pets & Animals,2017,6.5,0.858974358974359
18,Oscar's Funny World,5500000,4168413847,406,Pets & Animals,2021,2.5,13.533333333333333
19,MILYHYA,5370000,768789192,121,Pets & Animals,2015,8.5,1.1862745098039216
20,Hope For Paws - Official Rescue Channel,5300000,1467228016,683,Pets & Animals,2006,17.5,3.252380952380953
21,Kritter Klub,5260000,2258950995,2768,Pets & Animals,2018,5.5,41.93939393939394
22,Sarpmitra Akash Jadhav,5220000,1304112763,697,Pets & Animals,2017,6.5,8.935897435897436
23,JayPrehistoricPets,5220000,2852980616,2066,Pets & Animals,2007,16.5,10.434343434343434
24,Tucker Budzyn,5170000,1399276163,211,Pets & Animals,2018,5.5,3.1969696969696972
25,Top 10s,5000000,1560752313,1342,Pets & Animals,2015,8.5,13.156862745098039
26,AntsCanada,4920000,615841621,704,Pets & Animals,2009,14.5,4.045977011494252
27,SBS TV동물농장x애니멀봐,4860000,4725037230,4386,Pets & Animals,2015,8.5,43.0
28,Pequenos Príncipes,4500000,2701956528,1820,Pets & Animals,2020,3.5,43.333333333333336
29,Brodie That Dood,4410000,2100386053,493,Pets & Animals,2020,3.5,11.738095238095239
30,The Pet Collective,4360000,2511952851,5945,Pets & Animals,2012,11.5,43.07971014492753
31,МЯТНЫЙ,4300000,1786249369,232,Pets & Animals,2019,4.5,4.296296296296297
32,Little Golden,4270000,1593735602,368,Pets & Animals,2022,1.5,20.444444444444446
33,Catch Em All Fishing with Zak Catch em,4130000,1098905651,955,Pets & Animals,2016,7.5,10.61111111111111
34,Corbin Maxey,4090000,2210600731,974,Pets & Animals,2008,15.5,5.236559139784946
35,Hammy and Olivia,4030000,1948965553,992,Pets & Animals,2020,3.5,23.61904761904762
36,Latest Sightings,4030000,2892869768,744,Pets & Animals,2011,12.5,4.96
37,Kakoa's World,3930000,1349863220,151,Pets & Animals,2018,5.5,2.2878787878787876
38,Louie The Beagle,3830000,1250044384,589,Pets & Animals,2012,11.5,4.268115942028985
39,크림히어로즈,3790000,1654010887,1087,Pets & Animals,2017,6.5,13.935897435897436
40,SANISHOW,3690000,331802984,89,Pets & Animals,2016,7.5,0.9888888888888889
41,Zak George’s Dog Training Revolution,3670000,294854482,776,Pets & Animals,2006,17.5,3.695238095238095
42,Aquarium Info,3640000,2434046968,210,Pets & Animals,2020,3.5,5.0
43,BBC Studios,3640000,2211843761,5370,Pets & Animals,2007,16.5,27.12121212121212
44,DontStopMeowing,3630000,2360785375,1004,Pets & Animals,2020,3.5,23.9047619047619
45,Aww Animals,3630000,1123320233,137,Pets & Animals,2019,4.5,2.5370370370370368
46,متع عقلك | حقائق,3510000,359750233,734,Pets & Animals,2016,7.5,8.155555555555555
47,Elli Di Pets,3380000,852103207,531,Pets & Animals,2013,10.5,4.214285714285714
48,HUSMUT : ХАСМУТ / ХАСки и малаМУТ /,3380000,1294590641,1577,Pets & Animals,2014,9.5,13.833333333333334
49,FRANK CUESTA - CANAL YOUTUBE,3350000,429392664,1164,Pets & Animals,2019,4.5,21.555555555555557
50,Tiger Productions,3260000,1366310890,585,Pets & Animals,2012,11.5,4.239130434782608
51,Life Of Big Cat,3220000,831661511,119,Pets & Animals,2014,9.5,1.0438596491228072
52,Anil facts,3110000,83956683,177,Pets & Animals,2021,2.5,5.8999999999999995
53,4 Ever Green,3080000,761487582,545,Pets & Animals,2015,8.5,5.343137254901961
54,Exotics Lair,3050000,688331287,920,Pets & Animals,2015,8.5,9.019607843137255
55,Amazing Dogs,3050000,1254260975,223,Pets & Animals,2022,1.5,12.388888888888888
56,Hewan Populer,3010000,361139010,1364,Pets & Animals,2017,6.5,17.487179487179485
57,cp wild Lanka,2950000,1126692970,1663,Pets & Animals,2016,7.5,18.477777777777778
58,ExpertoAnimal,2950000,474988124,1349,Pets & Animals,2012,11.5,9.77536231884058
59,Magic Family,2920000,760422440,616,Pets & Animals,2014,9.5,5.4035087719298245
60,Zapping Sauvage,2870000,1100588911,573,Pets & Animals,2014,9.5,5.026315789473684
61,Talking Kitty Cat,2840000,980909088,167,Pets & Animals,2007,16.5,0.8434343434343434
62,Gohan The Husky,2840000,390011675,463,Pets & Animals,2013,10.5,3.6746031746031744
63,Kittisaurus,2840000,598509675,178,Pets & Animals,2019,4.5,3.2962962962962963
64,Min Sea,2820000,1002488025,585,Pets & Animals,2020,3.5,13.928571428571429
65,Mayapolarbear,2800000,484639087,208,Pets & Animals,2018,5.5,3.151515151515152
66,Vet Ranch,2790000,421845928,470,Pets & Animals,2014,9.5,4.12280701754386
67,ND Channel,2780000,333131524,55,Pets & Animals,2014,9.5,0.4824561403508772
68,Vitalik Ignatyuk,2710000,503696749,600,Pets & Animals,2016,7.5,6.666666666666667
69,Бентли и Анжелика,2640000,820828763,263,Pets & Animals,2016,7.5,2.9222222222222225
70,Cesar Millan,2640000,204509178,264,Pets & Animals,2006,17.5,1.2571428571428571
71,Luke's Goldies,2610000,1712677638,1442,Pets & Animals,2020,3.5,34.333333333333336
72,Моя анимированная история,2600000,925622572,672,Pets & Animals,2019,4.5,12.444444444444445
73,Fish Cutting,2570000,785769631,284,Pets & Animals,2016,7.5,3.1555555555555554
74,Life of Tom,2570000,632239267,1903,Pets & Animals,2011,12.5,12.686666666666667
75,My Mountain Husky,2540000,710877755,202,Pets & Animals,2018,5.5,3.0606060606060606
76,Wiki,2530000,242338,2,Pets & Animals,2018,5.5,0.030303030303030304
77,The Dog Daddy,2530000,882970150,757,Pets & Animals,2012,11.5,5.4855072463768115
78,Animal Planet Latinoamérica,2500000,651649627,2128,Pets & Animals,2016,7.5,23.644444444444446
79,Mister Hamster,2480000,990909949,18,Pets & Animals,2016,7.5,0.19999999999999998
80,Beastly,2450000,601117534,239,Pets & Animals,2015,8.5,2.343137254901961
81,I_am_puma,2410000,842916165,1332,Pets & Animals,2017,6.5,17.076923076923077
82,Victor Brasil,2400000,347812370,83,Pets & Animals,2017,6.5,1.064102564102564
83,OwlKitty,2390000,430495728,97,Pets & Animals,2010,13.5,0.5987654320987654
