rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,MR. INDIAN HACKER,32000000,5760658651,929,Science & Technology,2012,11.5,6.731884057971015
2,Mark Rober,24600000,3655285556,120,Science & Technology,2011,12.5,0.7999999999999999
3,Happy Lives,23200000,6794,1,Science & Technology,2016,7.5,0.011111111111111112
4,Technical Guruji,23000000,3387566506,5043,Science & Technology,2015,8.5,49.44117647058823
5,National Geographic,21800000,5626588630,10162,Science & Technology,2006,17.5,48.39047619047619
6,HaerteTest,19800000,3239418171,1414,Science & Technology,2011,12.5,9.426666666666668
7,Unbox Therapy,19500000,4513094689,2175,Science & Technology,2010,13.5,13.425925925925926
8,Vsauce,19300000,2926868343,462,Science & Technology,2007,16.5,2.3333333333333335
9,Apple,17400000,1046902454,180,Science & Technology,2005,18.5,0.8108108108108109
10,Marques Brownlee,17200000,3634493363,1569,Science & Technology,2008,15.5,8.435483870967742
11,Mr DegrEE,16200000,13620664749,1352,Science & Technology,2017,6.5,17.333333333333332
12,Linus Tech Tips,15600000,7212982451,6548,Science & Technology,2008,15.5,35.204301075268816
13,Mrwhosetheboss,15600000,3832456312,1580,Science & Technology,2011,12.5,10.533333333333333
14,Hacksmith Industries,13900000,1859217510,891,Science & Technology,2006,17.5,4.242857142857143
15,Trakin Tech,13400000,2286922573,3644,Science & Technology,2011,12.5,24.293333333333333
16,Technology Gyan,13300000,1148735973,1023,Science & Technology,2015,8.5,10.029411764705882
17,Quantum Tech HD,12500000,4367654593,492,Science & Technology,2015,8.5,4.823529411764706
18,CrazyRussianHacker,11900000,3441555711,2388,Science & Technology,2012,11.5,17.304347826086957
19,MrGear,11700000,3272838825,890,Science & Technology,2015,8.5,8.72549019607843
20,NASA,11200000,948018688,5666,Science & Technology,2008,15.5,30.46236559139785
21,SmarterEveryDay,11200000,1137246793,368,Science & Technology,2006,17.5,1.7523809523809524
22,GadgetIn,11100000,2561473877,1381,Science & Technology,2014,9.5,12.1140350877193
23,Google,11100000,3705530487,2859,Science & Technology,2005,18.5,12.878378378378379
24,Apple India,10700000,565229311,136,Science & Technology,2016,7.5,1.511111111111111
25,Tech Burner,10700000,1742170193,1141,Science & Technology,2014,9.5,10.008771929824562
