rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,SET India,159000000,148946906265,116524,Shows,2006,17.5,554.8761904761905
2,Sony SAB,83400000,101143928547,71255,Shows,2007,16.5,359.87373737373736
3,Colors TV,65000000,61988846308,112906,Shows,2008,15.5,607.0215053763441
4,Masha and The Bear,42700000,24720023470,1217,Shows,2014,9.5,10.675438596491228
5,Sony PAL,38400000,28669522293,24084,Shows,2014,9.5,211.26315789473685
6,Mr Bean,32100000,10634087133,3098,Shows,2006,17.5,14.752380952380953
7,Kids TV - Nursery Rhymes And Baby Songs,23300000,13183897761,3781,Shows,2013,10.5,30.007936507936506
8,Sony AATH,19800000,14036191383,18653,Shows,2013,10.5,148.03968253968253
9,Masha e o Urso,18900000,8334504840,1129,Shows,2016,7.5,12.544444444444444
10,MGC Playhouse,17800000,16183850416,1426,Shows,2009,14.5,8.195402298850574
11,ماشا و الدب,15600000,8330613145,1025,Shows,2017,6.5,13.14102564102564
12,Kids TV India Hindi Nursery Rhymes,13900000,6690765478,1510,Shows,2014,9.5,13.24561403508772
13,Маша та Ведмідь,13000000,5614879506,1253,Shows,2014,9.5,10.991228070175438
14,HISTORY,12100000,3841798746,9088,Shows,2006,17.5,43.27619047619047
15,Annoying Orange,11900000,8312275443,2058,Shows,2010,13.5,12.703703703703704
16,Теремок - Песенки для детей,11600000,8150326802,1359,Shows,2014,9.5,11.921052631578947
17,Al Jazeera English,10600000,3357307549,105703,Shows,2006,17.5,503.34761904761905
18,A&E,9670000,6421582236,9565,Shows,2006,17.5,45.547619047619044
19,Star Jalsha,9490000,9116984733,32060,Shows,2011,12.5,213.73333333333335
20,Star Maa,8760000,11546211991,45727,Shows,2006,17.5,217.74761904761905
21,Top Gear,8720000,3833952558,1745,Shows,2006,17.5,8.309523809523808
22,Первый канал,7790000,5579307874,28048,Shows,2006,17.5,133.56190476190477
23,KTV,7580000,1433257439,216,Shows,2012,11.5,1.565217391304348
24,VikatanTV,7210000,7053397677,20043,Shows,2011,12.5,133.62
25,Фиксики,7040000,6810676463,1229,Shows,2011,12.5,8.193333333333333
26,Learn English | Let's Talk - Free English Lessons,6920000,545484858,2296,Shows,2009,14.5,13.195402298850574
27,Disney,5640000,3682596332,989,Shows,2012,11.5,7.166666666666667
28,Distrito Comedia,5630000,5406851903,4261,Shows,2013,10.5,33.817460317460316
29,MondoMedia,5600000,3590618471,1525,Shows,2007,16.5,7.7020202020202015
30,NMás,5560000,3821154122,95830,Shows,2012,11.5,694.4202898550725
31,Disney India,5410000,2819863401,2296,Shows,2010,13.5,14.17283950617284
32,The Key of Awesome,5410000,3359698919,1096,Shows,2007,16.5,5.5353535353535355
33,GameSpot,5300000,3526530455,38445,Shows,2006,17.5,183.07142857142856
34,ZackScottGames,5300000,3324312680,11779,Shows,2010,13.5,72.70987654320987
35,Mona Elshazly,5090000,1847946146,15533,Shows,2015,8.5,152.2843137254902
36,КУКУТИКИ - Детские песенки и мультики,4950000,5274394952,383,Shows,2014,9.5,3.3596491228070176
37,JTBC Drama,4780000,5352729455,28552,Shows,2012,11.5,206.89855072463766
38,Новий Канал,4370000,3357951888,15800,Shows,2009,14.5,90.80459770114942
39,Eddsworld,4090000,884880470,89,Shows,2006,17.5,0.4238095238095238
40,Smithsonian Channel,4080000,1289514554,3378,Shows,2008,15.5,18.161290322580644
41,KEDOO СЕРИАЛЫ,4080000,2852346,163,Shows,2012,11.5,1.1811594202898552
42,KBS Drama,3910000,5370605603,132086,Shows,2011,12.5,880.5733333333333
43,Monark,3800000,511199562,3029,Shows,2009,14.5,17.408045977011493
44,Viki Global TV,3710000,1738760188,10515,Shows,2012,11.5,76.19565217391305
45,옛드 : MBC 레전드 드라마,3530000,6486459419,45270,Shows,2011,12.5,301.8
46,Mascha und der Bär,3500000,1442501915,1028,Shows,2016,7.5,11.422222222222222
47,EBS 키즈,3370000,4610878113,21589,Shows,2011,12.5,143.92666666666665
48,Vision Time Tamil,3180000,2039250428,11639,Shows,2013,10.5,92.37301587301586
49,Graser,3110000,619286127,3342,Shows,2007,16.5,16.87878787878788
50,YTITTY,3080000,792573801,354,Shows,2008,15.5,1.903225806451613
51,FRED,3000000,1350725408,189,Shows,2005,18.5,0.8513513513513513
52,Союзмультфильм,2880000,1721131809,860,Shows,2018,5.5,13.030303030303031
53,UniNovelas,2810000,740548273,9116,Shows,2011,12.5,60.77333333333333
54,ON Sport,2740000,4073462,2,Shows,2016,7.5,0.022222222222222223
55,Clash of clans - Godson,2730000,1033580900,3022,Shows,2011,12.5,20.146666666666665
56,For Kids TV,2670000,1488142757,1985,Shows,2013,10.5,15.753968253968253
57,Joe Penna / MysteryGuitarMan,2610000,384215591,272,Shows,2006,17.5,1.2952380952380953
58,Пусть говорят,2570000,1237248596,3075,Shows,2015,8.5,30.14705882352941
59,Поиграйка,2530000,1617424954,760,Shows,2014,9.5,6.666666666666667
60,OneyNG,2520000,493969055,53,Shows,2008,15.5,0.2849462365591398
61,kipkay,2520000,716586358,447,Shows,2006,17.5,2.1285714285714286
62,TaDaBoom песенки для детей,2470000,1189069755,594,Shows,2016,7.5,6.6000000000000005
63,Помогатор,2410000,1597892602,800,Shows,2016,7.5,8.88888888888889
64,채널A 뉴스,2210000,3521063942,88141,Shows,2012,11.5,638.7028985507246
65,BBQ Pit Boys,2190000,368880887,1217,Shows,2007,16.5,6.146464646464646
66,Shane Dawson Podcast Clips,2120000,46346,7,Shows,2009,14.5,0.040229885057471264
67,Film Riot,2060000,228512648,1207,Shows,2006,17.5,5.747619047619048
68,EBSCulture (EBS 교양),2040000,1543058347,46173,Shows,2012,11.5,334.5869565217391
69,TetraNinja,1930000,992425659,11141,Shows,2007,16.5,56.26767676767677
70,Oh My Genius - Nursery Rhymes And Kids Songs,1900000,1599373121,1395,Shows,2012,11.5,10.108695652173912
71,КУКУ PLAY - Поиграйки и развивайки c Кукутиками,1880000,1940046573,793,Shows,2017,6.5,10.166666666666666
72,DanceOn,1880000,672616772,2151,Shows,2006,17.5,10.242857142857142
73,tvN D STUDIO,1870000,688306841,1358,Shows,2011,12.5,9.053333333333333
74,The Fixies,1860000,1927686750,1722,Shows,2014,9.5,15.105263157894738
75,Sam Green,1840000,488637501,139,Shows,2011,12.5,0.9266666666666666
76,세바시 강연 Sebasi Talk,1790000,441248520,2721,Shows,2011,12.5,18.14
77,BGH Music,1720000,681613342,284,Shows,2011,12.5,1.8933333333333333
78,TaDaBoom English,1710000,715230639,589,Shows,2016,7.5,6.544444444444444
79,Rick Steves' Europe,1700000,375875763,1930,Shows,2006,17.5,9.190476190476192
80,LGR,1670000,527860749,1194,Shows,2006,17.5,5.685714285714286
