rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
1,WWE,96200000,77660853951,70121,Sports,2007,16.5,354.14646464646466
2,Dude Perfect,59500000,16297000706,389,Sports,2009,14.5,2.235632183908046
3,NBA,20700000,12642768062,47925,Sports,2005,18.5,215.87837837837836
4,FIFA,19500000,5552934006,10723,Sports,2006,17.5,51.06190476190476
5,How Ridiculous,18300000,9793977973,651,Sports,2009,14.5,3.7413793103448274
6,UFC - Ultimate Fighting Championship,16400000,7181050813,14659,Sports,2006,17.5,69.8047619047619
7,FC Barcelona,15400000,2699562558,10989,Sports,2006,17.5,52.32857142857143
8,F2Freestylers - Ultimate Soccer Skills Channel,14100000,3285978308,777,Sports,2011,12.5,5.18
9,DALLMYD,13600000,1958372849,412,Sports,2011,12.5,2.7466666666666666
10,Natan por AÃ­,13000000,9315397410,1205,Sports,2017,6.5,15.448717948717949
11,gymvirtual,13000000,2516630528,1574,Sports,2010,13.5,9.716049382716049
12,Kirya Kolesnikov,12500000,7877983753,2362,Sports,2011,12.5,15.746666666666668
13,SportsNation,12300000,16005149032,3971,Sports,2009,14.5,22.82183908045977
14,Nick Pro,12000000,4814104148,660,Sports,2010,13.5,4.0740740740740735
15,Red Bull,12000000,4175102725,5950,Sports,2006,17.5,28.333333333333332
16,DemolitionRanch,11300000,2341872130,643,Sports,2011,12.5,4.286666666666666
17,NFL,11300000,8626082792,30136,Sports,2014,9.5,264.35087719298247
18,Jack Doherty,11000000,3018389436,1159,Sports,2016,7.5,12.877777777777778
19,That's Amazing Shorts,11000000,5058746338,182,Sports,2021,2.5,6.066666666666666
20,GoPro,10600000,3233022705,2547,Sports,2009,14.5,14.63793103448276
21,Real Madrid,10500000,1530094313,6309,Sports,2006,17.5,30.042857142857144
22,beIN SPORTS,10100000,994668697,4448,Sports,2014,9.5,39.01754385964912
23,House of Highlights,10000000,12396294354,36326,Sports,2018,5.5,550.3939393939394
24,TNT Sports Brasil,10000000,2214806114,5024,Sports,2009,14.5,28.873563218390803
25,Olympics,10000000,5252604228,12287,Sports,2006,17.5,58.50952380952381
26,Tibo InShape,9940000,4517971796,1446,Sports,2008,15.5,7.774193548387097
27,ESPN,9700000,10500413707,68794,Sports,2005,18.5,309.8828828828829
28,Desimpedidos,9560000,1766264684,2120,Sports,2013,10.5,16.825396825396826
29,El TÃ­o NÃ©stor,9390000,4270730381,887,Sports,2018,5.5,13.43939393939394
30,Omar Raja - ESPN,9350000,14579053422,1962,Sports,2007,16.5,9.909090909090908
31,FORMULA 1,9200000,5828275051,6344,Sports,2005,18.5,28.576576576576574
32,LALIGA EA Sports,9150000,2682521955,42518,Sports,2006,17.5,202.46666666666667
33,Matt Larose,9110000,5204064271,148,Sports,2010,13.5,0.9135802469135803
34,cricket.com.au,8890000,4641331227,11946,Sports,2008,15.5,64.22580645161291
35,Serie A,8880000,3502828025,25899,Sports,2012,11.5,187.67391304347825
36,Rabbitholebd Sports,8860000,1360284221,2774,Sports,2015,8.5,27.196078431372552
37,freekickerz,8640000,2420521247,1590,Sports,2010,13.5,9.814814814814815
38,Liverpool FC,8620000,2156527233,4966,Sports,2005,18.5,22.36936936936937
39,CazÃ©TV,8620000,284220516,1333,Sports,2019,4.5,24.685185185185187
40,Aronowitz,8500000,148090,25,Sports,2014,9.5,0.2192982456140351
41,Toy For Kids [í ì´í¬í¤ì¦],8390000,2813035881,53,Sports,2012,11.5,0.38405797101449274
42,Manchester United,8010000,1695528738,3464,Sports,2017,6.5,44.41025641025641
43,THENX,7670000,622132938,387,Sports,2013,10.5,3.071428571428571
44,Fabio Wibmer,7620000,1494606312,292,Sports,2008,15.5,1.5698924731182797
45,ÙØ­ÙØ¯ Ø¹Ø¯ÙØ§Ù Mohamad Adnan,7620000,746780383,277,Sports,2020,3.5,6.595238095238095
46,Professor Live,7590000,1437625431,574,Sports,2009,14.5,3.2988505747126435
